"name","language","status","category","id","last_updated_time"
"yogique_next_class_alerts","en","APPROVED","UTILITY","1215242169937888",
"yogique_otp_phone_verification","en","APPROVED","AUTHENTICATION","3471444632996786",
"yogique_invoice_generated","en","APPROVED","UTILITY","905405281837791",
"yogique_payment_successful","en_IN","APPROVED","UTILITY","1379734223559848",
"payment_overdue_reminder","en","APPROVED","UTILITY","3230726907103908",
"yogique_payment_due_reminder","en","APPROVED","UTILITY","644830015324514",
"yogique_payment_success","en","APPROVED","UTILITY","1374368854237617",
"class_reminder_zoom","en_IN","APPROVED","UTILITY","1157617086147873",
"yogique_booking_confirmation","en","APPROVED","UTILITY","1921291862071161",
"yogique_test","en","APPROVED","UTILITY","1950973042520636",
"hello_world","en_US","APPROVED","UTILITY","1181216620653648",
